input1,input2,output
0.60355,0.413633,B
-0.917158,0.550231,A
0.910902,0.882253,B
-0.336411,-0.093316,B
0.813493,-0.72119,A
-0.148754,-0.177141,B
-0.698233,-0.042112,B
-0.679442,0.97819,A
-0.734902,0.301184,A
-0.670068,-0.024035,B
-0.998085,0.499453,A
-0.68441,0.661856,B
0.474599,0.484654,B
-0.375648,0.517107,B
-0.239532,-0.754292,B
-0.098069,0.848986,B
0.37859,0.38538,B
0.327931,0.106463,B
0.648234,-0.120591,B
0.123043,-0.473479,B
-0.107418,-0.019082,B
0.850324,-0.537518,A
0.454642,-0.295939,B
-0.37188,-0.772716,B
0.788519,-0.136816,A
-0.112226,0.962022,B
0.575161,0.52544,A
0.154809,0.264569,B
-0.623868,-0.955317,A
-0.83655,0.740015,A
-0.884926,-0.444289,A
-0.832162,0.714292,A
-0.318352,0.248829,B
0.922634,-0.290964,A
-0.847968,-0.116138,B
0.032837,0.596539,B
0.695582,0.476485,A
0.829267,0.265941,A
0.49811,-0.600123,A
0.775381,0.319664,B
-0.365983,0.426449,B
-0.600703,0.814197,A
-0.693925,-0.458121,B
-0.251192,-0.900288,A
0.661367,0.001411,B
-0.739981,-0.446706,A
-0.097268,0.799711,A
-0.941897,-0.719159,A
-0.429646,-0.70782,B
0.623134,-0.960849,A
0.029613,-0.952471,A
0.479993,-0.192254,B
-0.782047,0.958198,A
0.434311,0.255435,B
0.643061,0.788074,A
0.523207,-0.818143,A
-0.321041,0.021214,A
-0.210998,-0.546937,B
-0.548592,0.059149,B
-0.768531,0.647118,A
-0.248993,-0.443088,B
-0.616234,0.776252,A
-0.402879,-0.009141,A
-0.005019,-0.497574,B
0.743966,-0.811679,A
0.078059,0.760268,A
0.692389,0.107817,A
0.930762,-0.998279,A
-0.166269,-0.92771,A
0.048744,0.962133,A
0.471842,0.286784,B
-0.661193,-0.339068,A
0.445646,0.134294,B
-0.069362,0.021759,B
0.959818,0.234186,A
-0.57694,-0.343604,B
0.184292,0.447067,B
0.019013,-0.959658,A
0.088435,0.516499,B
-0.872111,0.540415,A
-0.178627,-0.360537,B
-0.630736,0.677404,B
0.548172,-0.459615,B
0.989759,-0.173572,A
-0.563419,0.152917,B
-0.3304,0.350391,B
-0.993945,-0.107086,A
-0.248023,-0.600878,B
0.168626,-0.545541,B
0.124161,0.423035,B
0.189394,0.068729,A
-0.546878,-0.096143,A
-0.915006,-0.475209,A
-0.772268,-0.366467,A
-0.930578,-0.713443,A
-0.735624,0.850275,A
-0.42073,0.994302,A
-0.222694,0.413511,B
0.543257,0.027921,B
-0.82057,0.007024,B
-0.426008,-0.523885,B
-0.133814,0.282842,B
-0.507492,0.436649,B
0.482318,0.840862,B
0.983514,0.978565,B
0.826358,-0.171947,A
0.642013,0.590703,A
-0.568339,0.080406,A
-0.741255,0.427412,A
-0.008414,-0.745731,B
-0.569283,-0.467274,B
-0.845298,0.51175,A
0.970238,0.343465,A
0.769606,0.236411,A
0.688166,0.727277,A
-0.028662,-0.895323,A
0.071602,-0.97819,A
0.544417,-0.31461,A
-0.994744,0.81362,A
0.56539,-0.830693,A
0.68108,0.513597,B
-0.438454,0.650697,A
0.385614,-0.443406,B
0.639818,0.075955,B
-0.102454,-0.143475,B
-0.128641,-0.229742,B
0.363048,0.106138,A
0.076361,-0.784163,B
0.170667,-0.826921,A
0.766569,-0.009753,B
0.335624,0.156549,B
-0.46561,-0.932134,A
-0.360899,-0.286643,B
-0.809338,-0.623998,A
0.736957,-0.068078,A
0.167139,0.59664,B
0.223558,0.287775,B
0.739169,0.606055,A
0.11575,-0.706598,B
0.462796,-0.750309,A
-0.320841,-0.274118,B
-0.904195,-0.010613,B
-0.452735,0.884811,A
-0.05638,-0.433945,B
-0.296386,-0.329396,B
0.564877,0.106962,B
-0.268575,0.788142,A
-0.377968,-0.760714,B
0.518469,0.916205,A
0.90866,0.914211,A
0.956349,0.670123,A
0.38102,-0.996049,A
-0.918026,0.599555,A
0.773203,-0.176616,B
0.337679,-0.978722,A
0.620209,0.687762,A
-0.731549,-0.76982,A
-0.638089,0.173077,B
0.257728,0.598418,B
-0.894288,-0.497866,A
0.357871,0.312724,B
0.057963,0.927549,A
0.743759,0.550151,A
0.003359,-0.331551,B
-0.244495,0.855289,A
-0.317524,-0.426945,B
-0.696489,0.661773,A
0.623907,-0.563416,A
0.42147,0.397477,A
0.78181,-0.375745,B
-0.668174,0.838772,A
0.795084,-0.302426,B
0.132312,-0.006351,A
0.268387,-0.414225,B
-0.807701,0.992607,A
-0.924404,-0.551825,A
0.930209,0.174451,A
0.06549,-0.84798,A
-0.356259,0.646594,B
0.181155,0.369843,B
-0.714827,-0.922562,A
-0.650193,0.839448,A
0.034398,0.471551,B
0.38037,0.869235,A
-0.355795,0.79046,B
-0.784918,0.029624,A
0.2718,0.055398,B
-0.405803,0.680254,A
-0.81901,0.3581,B
0.78419,0.593652,A
0.234924,-0.278505,B
-0.954856,-0.82358,A
-0.339776,-0.795884,A
0.070678,0.485045,B
-0.702138,-0.583598,A
0.25321,-0.345976,B
0.648282,-0.463243,B
-0.348374,-0.440059,B
0.167462,-0.227506,B
-0.955936,0.805515,A
0.014782,0.67528,B
-0.728771,-0.09956,B
-0.819604,0.707639,A
0.548278,0.228541,B
-0.076821,-0.73654,A
0.820993,0.19372,A
0.571914,-0.258569,A
0.625242,0.302478,A
-0.632772,0.61473,B
-0.625803,-0.599315,A
-0.552274,-0.341783,B
-0.881147,-0.150199,A
-0.099682,-0.248494,A
0.951511,-0.823982,A
0.480721,0.610044,B
-0.779224,0.711547,A
0.436482,-0.88095,A
0.172168,0.746506,B
-0.895925,-0.987702,A
0.930694,-0.566956,A
-0.52671,-0.37488,A
-0.005596,0.565353,B
-0.240632,0.753265,A
0.668309,0.867396,A
0.625274,-0.90494,A
-0.398791,0.243229,B
-0.50301,0.132964,B
-0.158882,-0.491339,B
0.029979,0.066865,A
0.582908,0.823821,A
-0.989013,-0.001376,A
-0.933635,0.777194,B
0.319646,-0.978096,A
-0.062503,0.831574,A
0.9006,0.512445,A
-0.81718,0.466546,A
-0.043422,0.134211,A
0.443131,0.333833,B
0.702297,0.288463,A
-0.152401,-0.913109,A
0.84523,0.332729,A
0.701694,-0.418284,B
-0.74614,0.1364,B
0.899142,0.180326,A
0.027456,-0.916639,B
-0.044174,0.319034,B
-0.443168,0.604189,B
0.509703,0.277983,B
-0.767926,-0.059581,A
0.875309,0.034994,B
0.57831,0.294682,B
-0.929074,-0.922108,A
-0.697517,0.336868,A
0.480817,-0.959096,A
0.984458,0.170198,A
-0.683163,-0.515268,A
-0.689596,-0.24446,B
0.823471,0.444063,A
0.634108,-0.250447,A
0.002347,-0.258053,B
-0.244861,0.019849,A
0.966111,0.503726,A
-0.484703,0.448562,A
-0.093413,0.236503,A
0.479473,-0.219291,B
0.823977,-0.180324,B
-0.544202,0.178092,B
0.931046,0.260758,A
0.419808,-0.566975,A
0.06622,0.036046,A
0.413784,-0.302118,B
0.01783,-0.286033,B
0.203441,0.231367,A
-0.151624,-0.706555,A
-0.151332,0.633466,B
-0.94007,0.60647,A
-0.42163,0.471887,A
0.086903,-0.31129,B
-0.128223,0.958284,A
0.758917,0.901371,A
0.606558,0.774596,A
-0.28144,-0.51893,B
-0.146271,0.535398,B
-0.93818,-0.346581,A
-0.960266,-0.456262,A
-0.692319,-0.886667,A
-0.943383,0.590643,A
-0.226051,-0.027792,A
-0.402654,-0.335063,B
0.361028,0.638667,B
-0.382971,-0.250588,B
-0.575335,-0.109173,B
0.821791,-0.680176,A
-0.841672,-0.823985,A
0.732195,0.836693,A
-0.787892,-0.649105,A
0.956079,-0.651031,A
-0.913912,-0.358257,A
0.162749,-0.954973,A
0.906506,0.222429,A
-0.447333,0.42644,A
-0.73009,-0.635799,A
0.622431,0.413336,B
0.669868,-0.25971,B
0.068971,-0.58236,B
-0.017641,0.552152,B
0.51072,-0.340785,B
0.397438,0.675742,B
-0.556389,0.114179,B
-0.172188,0.600072,B
0.987027,0.855163,B
-0.210816,0.459051,B
-0.613125,0.402191,B
0.396694,-0.176207,B
-0.435054,-0.735361,B
0.577679,-0.883254,A
-0.209225,0.210869,A
0.254516,-0.153217,B
-0.346777,-0.838802,A
-0.185761,-0.799151,A
0.266983,-0.364359,B
0.869454,0.078994,A
0.284653,-0.759216,A
-0.111817,0.059196,A
0.667318,-0.077824,A
-0.443771,0.719431,A
-0.105819,-0.413883,B
-0.081149,0.137307,B
0.991739,-0.093084,A
0.683881,-0.278298,A
0.571858,0.269774,B
-0.501451,0.501107,A
-0.535827,-0.416403,B
0.239649,0.005945,B
0.023585,0.190735,A
0.809365,0.029287,B
-0.578984,-0.409204,B
0.798152,0.974157,B
-0.083454,-0.37533,A
-0.078074,0.466741,B
-0.608024,0.990818,A
0.382248,-0.37317,A
0.154869,0.193772,A
0.491594,0.862581,A
0.875933,0.975254,A
0.538907,0.78811,A
-0.0663,0.542925,B
0.467467,0.224474,B
0.348939,-0.201337,B
-0.999489,0.338268,A
-0.815785,0.806934,A
0.193837,0.252669,B
0.838515,0.446225,A
0.033892,0.72328,A
-0.624837,0.520969,A
-0.561912,-0.58783,A
0.996165,-0.531208,A
0.915463,0.779185,B
-0.705953,0.278562,B
0.907265,0.621416,A
0.017371,-0.58461,B
-0.832109,0.28414,A
0.525348,-0.565983,A
0.083974,-0.751464,A
0.634676,-0.184928,B
-0.65959,0.262339,A
0.540061,0.952137,A
0.067127,0.035133,A
-0.985278,-0.042909,A
0.002387,0.589757,B
-0.856677,0.478064,A
0.38684,-0.209637,B
0.358858,-0.67984,B
0.211548,0.152425,A
0.591906,-0.744422,A
0.872066,-0.722163,A
-0.359257,0.582289,B
-0.973795,0.414175,A
-0.559802,-0.716487,B
0.775059,0.177287,A
0.636292,0.003486,A
0.540724,-0.53484,B
-0.353044,0.534607,B
0.902627,0.056748,B
-0.360369,-0.357093,B
0.007201,0.417018,B
-0.038657,0.975409,A
0.625288,-0.334681,B
-0.86303,-0.646356,A
0.659252,0.989101,A
0.096089,-0.516137,B
0.836444,0.591569,A
0.174375,0.049351,B
-0.040658,-0.528022,B
0.854311,-0.784476,A
0.917988,-0.582291,A
0.472163,0.775369,A
-0.064571,-0.932118,B
-0.917637,-0.737824,A
0.734536,-0.143142,B
0.700117,-0.29983,B
-0.014618,0.619682,B
-0.454456,0.045099,B
0.504558,-0.370862,B
-0.176032,-0.987273,A
-0.518126,-0.679341,A
0.38972,0.096308,B
0.978022,-0.385372,A
-0.209457,0.532624,B
-0.625201,0.073119,B
-0.484468,-0.242336,B
-0.340496,-0.571703,A
-0.224644,-0.136101,B
0.089047,-0.791588,A
-0.159086,-0.024104,A
0.078846,-0.369282,B
-0.780374,0.217926,B
-0.174571,-0.495693,B
-0.656755,0.460763,A
-0.336768,-0.263844,B
-0.953694,0.693049,A
-0.388383,-0.710572,A
0.936481,0.731841,B
0.345911,-0.122332,A
0.644859,0.413478,A
-0.622604,0.927331,A
0.62407,0.656937,A
-0.026782,-0.389624,B
-0.045385,-0.937527,A
-0.039078,-0.126889,A
-0.28521,0.491273,B
0.673669,-0.63192,A
0.54057,0.494496,A
-0.736254,-0.717875,A
-0.866363,-0.957421,A
-0.384773,0.576355,B
-0.753132,-0.481067,A
0.617337,0.906293,A
-0.953107,0.057783,A
-0.126407,0.128147,A
-0.979583,0.661524,A
0.814433,-0.379542,A
-0.615468,0.976917,A
0.370255,-0.146911,B
-0.511395,-0.559608,B
-0.453148,-0.345994,A
-0.049866,0.858968,A
0.44102,0.890085,A
0.537838,0.134223,B
0.508649,-0.379713,A
0.105777,0.28946,B
-0.18424,0.155022,A
0.962605,0.288733,A
0.35902,0.617337,B
0.059993,-0.978924,A
-0.303087,-0.903505,A
-0.297656,-0.464977,B
0.442326,0.638308,B
0.65842,-0.924895,A
-0.610811,0.470477,A
-0.96144,0.901516,A
0.215791,-0.263556,B
0.479682,-0.368292,B
0.79178,0.145276,B
0.72358,-0.212266,B
-0.66787,0.537554,A
-0.544241,-0.981958,A
0.92125,0.760802,B
-0.944737,-0.247367,A
0.417721,0.868264,A
-0.732981,-0.576236,A
0.199666,-0.111048,B
0.337763,0.77849,A
-0.86284,0.980891,B
-0.661426,0.067264,A
0.809419,0.512855,A
0.327426,0.158341,B
0.603847,-0.042437,B
0.217359,0.231077,B
-0.543387,0.894983,A
-0.628603,0.290968,B
-0.689699,0.519249,A
0.381197,0.175221,B
0.674693,0.101723,A
-0.416286,-0.247481,B
-0.549188,-0.516424,A
0.295096,0.590353,B
0.042123,0.224018,B
0.496232,-0.39917,B
0.693723,-0.266706,A
-0.013057,-0.326041,A
0.943871,0.158116,A
-0.8254,0.288794,A
0.972799,0.5952,A
0.138862,0.569877,B
0.266677,0.949486,A
0.287893,0.618616,A
-0.69421,0.953576,A
0.122575,0.086084,B
0.278161,0.042887,B
0.182891,0.275787,B
-0.768911,-0.833775,A
0.997693,-0.619232,B
0.672438,-0.218894,A
0.593679,-0.844014,A
-0.930202,-0.648033,A
-0.583749,-0.324519,B
0.298197,0.516236,B
0.760998,0.418871,A
0.456938,0.531554,A
0.959487,-0.793681,A
-0.6323,0.835226,A
-0.238649,-0.878909,A
-0.838505,0.714638,B
-0.990345,-0.91415,A
-0.372031,-0.959438,A
-0.781322,-0.055131,A
-0.574191,0.218653,B
-0.443983,0.199911,B
-0.305363,0.979889,A
-0.422308,0.193999,B
0.228494,0.999813,A
0.836013,0.758632,A
-0.337863,-0.89827,A
-0.714171,0.760163,A
0.398358,-0.930672,A
-0.591604,-0.250495,B
-0.081602,-0.484107,B
0.561268,-0.084641,B
0.268434,0.887135,A
-0.836664,0.774827,A
0.74299,0.544654,B
0.324126,-0.175437,B
-0.608047,0.779432,A
0.387828,-0.394363,B
0.117225,0.433373,B
-0.168299,0.872502,A
-0.220838,0.854102,A
-0.354039,-0.653719,B
0.585243,-0.192297,A
0.648106,0.560642,A
-0.853871,-0.249362,A
-0.62634,-0.924208,A
0.171454,0.446465,B
0.754855,0.593142,A
0.473305,-0.78221,A
0.854314,-0.565531,A
-0.844505,0.395277,A
0.585129,-0.016665,A
0.396125,0.44152,B
0.767023,-0.074643,A
0.055933,0.558746,B
-0.706802,0.713246,A
0.646329,-0.766942,A
-0.178857,-0.498433,B
-0.651023,-0.241122,B
-0.461549,0.724435,A
-0.308232,-0.78967,A
0.088451,-0.891572,B
0.807661,-0.839539,A
-0.531653,0.509263,B
0.568286,-0.149661,B
0.294954,-0.89783,A
0.871568,-0.499076,A
-0.527533,-0.501648,B
0.501289,-0.223242,B
0.405161,0.412795,B
-0.808067,0.831434,A
-0.84915,0.09144,B
-0.281008,0.073366,A
0.773166,-0.23617,A
0.020182,0.0079,A
-0.341818,0.009222,B
0.433732,-0.770046,A
-0.752886,-0.470607,A
-0.453277,-0.413503,B
-0.883313,-0.229671,B
0.583039,0.453295,B
-0.402215,0.270075,B
0.478923,0.033903,B
0.252699,-0.458129,B
0.820365,0.581775,A
-0.749566,0.163112,B
-0.540583,0.160162,B
0.707184,-0.905423,A
0.651654,-0.800834,A
0.152618,0.296745,B
0.863648,0.417838,A
-0.498834,-0.12672,B
0.28321,0.697586,B
-0.024719,-0.633576,B
-0.917437,-0.988292,A
-0.889488,-0.916312,A
0.038706,0.435355,B
0.330472,-0.085421,B
0.228314,-0.70803,B
0.447925,-0.213675,B
-0.213211,0.982283,A
-0.183146,0.968352,A
-0.722423,0.948147,A
0.071592,-0.870385,A
0.206077,0.940442,B
0.098536,0.790622,A
0.773052,0.946264,A
-0.914567,0.263009,A
-0.680616,-0.443115,A
-0.551641,0.416885,A
-0.902805,0.995688,B
0.632768,0.955966,A
-0.167329,0.110764,A
0.582248,-0.794962,A
0.916242,-0.467236,A
0.905428,0.705385,A
0.239821,-0.43735,B
-0.887763,-0.862794,A
0.274044,0.272711,B
0.356035,0.884263,A
0.082345,0.230914,A
0.371347,0.703193,B
0.579277,0.226176,B
0.668874,-0.284011,B
-0.227676,0.101911,B
0.8284,-0.21584,A
0.895279,0.789762,A
-0.802623,-0.637324,A
0.925801,-0.281585,A
-0.826906,0.290768,A
-0.596261,0.84059,A
-0.602779,0.052864,A
-0.369679,0.672283,A
0.927789,0.146022,A
-0.087361,-0.304674,A
0.772159,-0.933176,A
0.83953,-0.237262,B
0.671544,0.478109,A
-0.835101,0.576257,A
0.389809,0.371973,B
-0.726589,0.314045,B
0.72989,0.996746,A
-0.743871,0.320671,A
0.455083,0.408118,B
-0.65235,-0.654886,A
-0.881953,0.624451,A
-0.213261,-0.279779,A
-0.999272,0.459433,A
-0.612242,-0.636428,A
0.702087,-0.28224,A
-0.409098,-0.21214,B
0.559368,-0.041104,B
-0.051771,-0.355863,A
0.219159,-0.341974,B
-0.493806,0.668436,A
-0.102936,-0.272363,B
0.150387,0.994733,A
0.829541,0.761363,A
0.524115,-0.505881,B
-0.795676,0.626606,A
0.499157,-0.186586,B
-0.314928,0.719888,A
0.939935,-0.015714,A
0.626718,-0.757406,A
-0.736526,-0.62922,A
0.85359,-0.423517,A
0.06322,0.437199,B
-0.930802,-0.648427,A
-0.639107,0.672523,A
0.099391,-0.107678,B
-0.672764,0.237888,B
0.45662,-0.288007,B
0.140407,-0.707901,A
0.0841,-0.487368,B
-0.599507,0.480116,B
0.876095,-0.039821,A
-0.789684,0.390937,A
0.729334,0.676644,A
-0.520767,0.34219,B
-0.86609,-0.686713,A
-0.382886,-0.789532,A
-0.286226,0.626143,B
0.528571,0.438777,B
0.170677,0.659167,A
-0.403401,0.577397,A
-0.251593,-0.68334,B
-0.951005,0.902342,A
0.428692,-0.537121,B
-0.226055,0.954794,A
0.472407,0.682962,B
-0.363893,0.563708,A
0.199697,0.393758,B
-0.903956,0.701765,A
-0.261122,0.805737,B
-0.905191,-0.227346,A
-0.668149,0.952299,A
-0.17834,-0.839588,B
0.74834,-0.635341,A
0.677724,-0.814442,A
0.06146,0.45453,B
0.154972,0.598789,A
0.552897,-0.16845,B
0.842194,0.841858,A
-0.409619,-0.893969,A
-0.481311,-0.766868,A
-0.963211,-0.279381,A
0.032132,-0.366634,A
0.708043,0.795306,A
-0.883122,-0.417938,B
-0.571601,0.630987,A
0.383056,0.196401,B
-0.662893,0.497622,B
-0.820758,0.023986,A
0.428774,0.45517,B
0.061332,-0.486557,B
-0.870637,-0.07967,A
-0.366922,-0.128622,B
0.533073,-0.273839,B
0.050708,-0.718962,A
-0.09135,0.634979,B
0.95938,-0.770546,A
0.379414,-0.715133,B
-0.292174,0.909434,A
0.012776,0.893571,B
-0.590248,-0.694081,A
-0.639763,0.531595,A
-0.892003,0.718087,B
0.62046,-0.8679,A
0.718583,-0.364449,A
0.002424,0.693955,B
-0.917218,0.692238,A
0.180762,-0.779273,A
-0.839153,0.820236,A
0.393589,0.160943,B
-0.14049,-0.472356,B
-0.522386,0.937478,A
0.439588,-0.784341,A
-0.216937,0.84812,A
-0.524617,0.020491,B
0.356953,-0.990468,A
-0.131475,-0.862285,B
-0.294272,-0.365623,B
-0.083394,0.904955,A
0.607778,0.770318,A
0.818501,-0.802341,A
-0.966516,-0.759834,A
0.444446,-0.55449,A
-0.339993,-0.248063,B
0.721593,-0.379659,B
-0.949126,-0.949445,A
-0.274755,-0.229973,B
-0.788819,0.93319,A
-0.392259,0.021041,B
0.082298,0.501603,B
0.239175,0.782392,B
0.119908,0.259748,B
-0.087641,-0.415471,B
-0.531938,0.77062,B
0.926815,0.154229,A
0.402372,0.463598,B
0.551742,0.403226,B
-0.184251,0.781559,B
-0.475406,0.528052,B
-0.590045,-0.899574,A
0.304616,0.195779,B
0.024169,-0.015016,A
-0.922442,-0.637254,A
-0.910835,0.751735,A
-0.422081,-0.360014,A
-0.215915,-0.949215,B
0.718797,0.350313,B
0.491895,-0.599139,A
-0.552939,0.16757,B
-0.317786,-0.742696,A
0.940553,0.549773,A
0.59484,0.036933,B
-0.5058,-0.43527,B
-0.604034,0.937932,A
-0.414294,-0.070857,B
0.67171,0.831423,A
-0.516289,-0.992172,A
-0.131655,-0.242321,A
0.332259,0.746373,A
-0.045182,-0.7684,B
-0.313847,0.155128,B
-0.969819,-0.549997,A
0.998094,-0.72843,A
0.909886,-0.804212,A
-0.030955,-0.845404,A
-0.706221,-0.481547,A
-0.37324,-0.637329,A
-0.422621,-0.661228,A
-0.435734,0.579277,A
-0.73935,0.852455,A
-0.791569,-0.358777,A
0.73663,0.005717,B
-0.662633,0.763715,A
0.712203,-0.047799,B
0.575899,-0.208021,B
0.241554,-0.576103,A
-0.033697,-0.07727,A
0.439903,0.701359,A
-0.78864,0.477602,A
-0.66604,0.255136,A
-0.880082,0.052139,A
0.7022,-0.503091,A
-0.927391,0.839154,A
-0.337451,0.550727,B
0.253285,-0.121813,B
-0.597879,-0.053313,B
-0.723317,-0.148064,B
-0.961226,-0.778949,A
0.260453,-0.533345,B
-0.849507,0.521773,A
-0.583658,-0.585818,B
0.219831,0.647844,B
-0.380993,0.569523,B
0.047291,-0.022402,A
-0.99988,0.524767,A
-0.677748,-0.156676,B
0.695038,-0.754909,A
-0.454753,-0.712111,A
-0.518439,-0.865759,A
0.090396,0.864035,A
-0.787956,0.578434,A
0.555951,-0.821685,A
-0.492998,0.842999,A
-0.209158,0.460251,B
-0.044099,-0.41247,B
-0.760239,0.897237,A
-0.351021,0.640489,A
0.033855,-0.380039,A
0.220589,-0.112961,A
-0.865081,0.417904,A
-0.780488,-0.14457,B
0.466935,0.710406,A
0.595008,0.112329,B
-0.872049,-0.98376,A
0.304394,-0.153427,B
0.271208,0.292414,B
-0.52526,-0.482911,B
0.296566,0.630139,A
-0.854597,-0.376666,B
-0.048175,-0.077257,A
0.099531,-0.639119,B
0.959933,-0.814377,A
0.77889,-0.58762,A
0.565205,0.262276,B
-0.336897,0.734264,B
-0.985904,0.173683,A
-0.558175,-0.878903,A
-0.578252,-0.594696,A
0.3001,-0.40754,B
0.607942,0.059026,B
-0.3819,-0.472287,B
-0.524464,0.472812,A
0.317709,-0.269754,B
-0.223471,0.675954,A
0.336978,-0.132165,B
-0.620812,-0.404505,B
0.284032,-0.070895,A
0.940863,0.537332,A
0.351108,0.166859,B
-0.036233,-0.387736,A
-0.299512,-0.117247,B
-0.863471,-0.796894,A
0.554367,0.669657,B
0.087358,0.707554,B
0.278856,0.255495,B
-0.436245,0.372771,B
-0.642254,0.014899,B
-0.655618,-0.734065,A
0.765739,-0.090816,A
-0.044303,-0.699756,B
0.222859,-0.554184,B
-0.014404,-0.784222,B
0.893646,-0.874261,A
0.453223,-0.402964,A
0.816084,-0.152981,A
-0.180305,-0.875871,A
-0.179516,0.204285,A
-0.454329,0.012263,B
-0.153603,-0.466873,B
0.4934,-0.26741,B
-0.11408,-0.839927,A
-0.092724,0.236549,A
0.604787,0.444684,B
0.564017,-0.265042,A
0.753623,-0.095984,A
-0.702643,-0.915416,A
-0.372604,-0.665976,A
-0.380861,-0.279021,B
0.468654,-0.31927,B
0.717211,0.874077,B
-0.332755,0.775084,A
-0.536775,-0.516495,B
-0.478664,-0.623489,A
-0.508742,0.568788,A
0.260033,0.966516,A
-0.260715,-0.47425,B
0.568674,0.506732,A
-0.244528,-0.805882,A
-0.78842,-0.364258,A
-0.947115,-0.110675,B
-0.866107,-0.309215,A
0.52387,0.597448,A
0.043175,0.859656,B
0.684852,-0.643524,A
0.44553,0.747471,B
0.160508,-0.121163,B
0.09428,0.373422,B
-0.262389,-0.656312,A
-0.553764,-0.223817,B
0.236053,-0.157087,A
0.663388,-0.353081,B
0.403296,-0.379156,B
0.173432,-0.152489,A
-0.332161,0.17899,B
-0.850953,-0.170947,B
-0.84061,-0.73366,A
-0.8622,0.58913,B
0.369709,-0.320676,B
0.579735,-0.911222,A
-0.314892,0.523297,B
-0.747132,-0.504686,A
0.49157,0.049031,B
0.94921,0.464883,A
0.192947,-0.796922,A
-0.083239,-0.009051,A
-0.184602,0.988909,A
0.110767,0.961746,A
0.582029,-0.499442,A
0.019088,0.904826,A
-0.963071,-0.544555,A
0.647824,0.785823,A
-0.313895,0.314161,B
0.838863,-0.13436,B
-0.801181,-0.029499,B
0.916745,0.186952,A
0.331863,0.542818,B
0.064733,0.101611,B
-0.927408,0.271072,B
-0.918543,0.252815,A
-0.886299,0.963484,A
-0.154376,0.681939,A
0.66105,0.51288,A
0.859484,0.082272,B
0.386256,-0.461938,B
0.463056,0.793997,A
0.418004,-0.894776,A
0.696483,-0.907709,A
0.411245,0.254678,B
-0.188266,-0.382113,B
0.026568,0.945048,A
-0.914124,0.898844,A
0.046731,0.088745,B
0.828435,-0.174901,B
0.028747,-0.804472,A
-0.880303,0.720177,A
0.592072,-0.766688,B
-0.936669,-0.763519,B
0.831577,-0.151189,A
-0.356473,-0.847628,B
0.958756,0.674383,A
-0.993085,0.090633,A
-0.220138,-0.174449,A
0.89971,-0.073658,A
0.536688,-0.945759,A
0.546197,-0.421777,B
0.804571,-0.25944,B
0.554185,-0.857165,A
0.554531,-0.628971,A
-0.907272,0.48928,A
-0.715299,-0.704375,A
0.136309,0.045887,A
-0.032023,0.769761,A
-0.434968,0.812372,A
-0.572454,-0.818884,A
-0.279423,0.536133,B
-0.685998,0.716805,A
-0.980614,0.518638,A
-0.807982,0.61044,A
-0.980115,0.559412,A
-0.155739,0.889146,A
-0.568373,-0.094453,B
-0.473491,-0.846202,A
0.973076,-0.320159,A
0.389968,-0.361679,B
0.330228,0.129777,B
-0.471811,0.470655,A
0.311928,-0.36284,B
0.061638,-0.876185,B
0.329638,0.770522,A
-0.620785,-0.915806,A
0.294556,-0.547197,B
-0.287179,-0.667963,A
0.713027,0.136153,A
0.803373,-0.218345,A
-0.161825,0.978601,B
-0.24839,-0.054783,B
-0.172887,0.934393,A
0.627414,-0.154718,A
-0.592336,0.144638,B
0.11009,0.311723,B
0.192336,-0.03745,B
-0.274663,-0.131771,B
-0.374719,-0.934903,A
0.786825,0.985551,B
-0.393731,-0.800765,B
-0.219853,0.853406,B
-0.030218,0.428116,B
0.25414,-0.280656,B
0.536456,0.156906,B
-0.16746,-0.772278,A
0.539934,0.211283,B
-0.872085,0.29348,A
-0.89825,-0.655378,A
0.595801,0.059044,B
-0.29376,0.893731,A
-0.724784,0.297203,A
0.363447,0.318408,B
0.180572,-0.218617,A
0.361773,0.498503,A
0.441007,-0.579056,A
-0.976201,-0.952987,A
0.733728,-0.916606,A
0.472231,-0.558193,B
-0.874414,-0.822102,A
0.607661,0.904687,A
0.918638,-0.502763,A
-0.134586,0.315717,A
-0.587805,0.353595,B
-0.97824,0.320262,A
0.194496,0.504565,B
0.437365,0.488004,A
-0.824721,0.717382,A
-0.784146,-0.253736,A
-0.423451,0.430348,B
-0.764473,0.045146,B
-0.424352,-0.735482,A
-0.251397,0.225958,A
-0.446568,-0.1175,B
-0.505843,0.025429,B
0.340057,0.522367,B
0.290375,0.383219,B
0.93323,0.562078,A
0.5876,-0.152473,B
0.492015,-0.586763,B
-0.787376,0.557449,A
-0.439208,-0.060899,B
0.553453,0.440911,B
0.478842,0.600149,A
0.884307,0.622481,A
-0.874982,0.232363,A
-0.903171,0.550441,A
0.03466,0.611698,B
-0.252276,0.861966,B
-0.384066,0.705326,A
-0.942822,-0.552587,A
-0.159691,-0.137717,B
-0.721165,-0.03339,B
0.81724,0.883364,A
0.141782,-0.223121,B
0.408629,0.41957,B
0.622556,-0.978102,A
0.40277,0.729217,B
-0.300249,0.647165,A
0.689566,0.488595,A
0.569202,0.037211,B
-0.912145,-0.126625,A
-0.979661,0.864463,A
-0.839047,0.832085,A
-0.303082,-0.013605,B
0.336694,-0.634392,A
-0.399849,-0.149745,B
-0.69827,0.997247,A
-0.943493,-0.780163,A
0.965198,-0.066437,A
-0.169039,0.747749,B
0.82948,0.759016,B
